,Age,Sex,Job,Housing,Saving accounts,Credit amount,JK,House,Sosial
727,25,female,2,rent,little,rendah,0,2,0
728,59,female,2,rent,little,tinggi,0,2,0
729,36,male,2,own,rich,rendah,1,1,3
730,33,male,2,own,little,tinggi,1,1,0
731,21,male,1,rent,little,rendah,1,2,0
732,44,female,1,own,little,rendah,0,1,0
733,28,female,2,rent,rich,rendah,0,2,3
734,37,female,2,own,little,tinggi,0,1,0
736,23,female,3,rent,little,tinggi,0,2,0
737,35,male,1,own,moderate,tinggi,1,1,1
738,45,male,3,own,little,tinggi,1,1,0
739,26,female,1,rent,moderate,tinggi,0,2,1
740,32,male,2,own,moderate,rendah,1,1,1
741,23,male,1,own,little,rendah,1,1,0
743,22,male,2,own,quite rich,rendah,1,1,2
745,28,male,1,own,little,rendah,1,1,0
746,23,female,2,rent,little,rendah,0,2,0
747,37,female,1,own,little,rendah,0,1,0
749,33,male,2,own,little,rendah,1,1,0
750,49,female,2,own,little,rendah,0,1,0
751,23,female,1,own,little,rendah,0,1,0
752,23,female,1,rent,moderate,rendah,0,2,1
753,25,female,2,own,little,tinggi,0,1,0
754,55,male,2,free,rich,rendah,1,0,3
756,74,male,0,own,little,rendah,1,1,0
758,31,male,2,own,little,rendah,1,1,0
759,35,male,2,own,little,rendah,1,1,0
761,24,female,2,rent,little,rendah,0,2,0
762,24,male,1,own,little,rendah,1,1,0
764,27,male,2,own,moderate,rendah,1,1,1
765,40,male,1,own,little,rendah,1,1,0
766,31,male,1,own,little,rendah,1,1,0
768,28,male,2,rent,little,tinggi,1,2,0
769,63,male,1,own,little,rendah,1,1,0
771,25,female,3,own,little,tinggi,0,1,0
772,36,male,3,own,little,tinggi,1,1,0
773,52,male,2,own,moderate,rendah,1,1,1
774,66,male,0,free,quite rich,rendah,1,0,2
776,37,male,2,own,little,tinggi,1,1,0
777,25,female,2,own,little,tinggi,0,1,0
778,38,male,3,own,rich,tinggi,1,1,3
779,67,female,2,own,little,tinggi,0,1,0
780,25,male,2,own,little,tinggi,1,1,0
781,60,male,2,own,rich,rendah,1,1,3
782,31,male,1,own,little,rendah,1,1,0
783,23,female,1,own,moderate,rendah,0,1,1
785,35,male,1,own,rich,rendah,1,1,3
786,40,male,2,own,quite rich,rendah,1,1,2
788,50,male,2,free,little,tinggi,1,0,0
789,27,male,2,own,little,tinggi,1,1,0
790,39,female,2,own,little,rendah,0,1,0
793,51,male,2,free,little,rendah,1,0,0
794,32,male,2,rent,quite rich,rendah,1,2,2
795,22,female,2,rent,moderate,rendah,0,2,1
797,22,female,1,rent,little,rendah,0,2,0
800,54,male,2,free,little,rendah,1,0,0
801,48,female,1,rent,little,rendah,0,2,0
802,24,female,2,own,little,tinggi,0,1,0
805,24,male,2,own,little,tinggi,1,1,0
806,26,male,1,own,little,rendah,1,1,0
808,55,male,3,free,little,tinggi,1,0,0
809,26,female,0,rent,little,rendah,0,2,0
810,26,male,2,own,little,rendah,1,1,0
811,28,male,1,own,little,rendah,1,1,0
812,24,male,2,own,little,tinggi,1,1,0
813,54,male,2,own,little,rendah,1,1,0
814,46,male,2,free,little,tinggi,1,0,0
815,54,female,2,rent,little,tinggi,0,2,0
816,62,male,2,own,quite rich,rendah,1,1,2
817,24,female,2,rent,little,rendah,0,2,0
818,43,male,3,own,little,tinggi,1,1,0
819,26,male,2,own,little,rendah,1,1,0
820,27,male,2,own,little,rendah,1,1,0
821,24,male,2,own,little,rendah,1,1,0
822,41,male,2,own,little,rendah,1,1,0
823,47,male,1,own,little,rendah,1,1,0
824,35,male,3,own,little,tinggi,1,1,0
825,30,male,2,own,little,rendah,1,1,0
826,33,female,2,rent,little,tinggi,0,2,0
827,36,male,2,own,little,tinggi,1,1,0
830,44,male,2,own,quite rich,rendah,1,1,2
831,23,female,2,rent,little,rendah,0,2,0
832,29,male,2,rent,little,tinggi,1,2,0
834,25,female,1,own,little,rendah,0,1,0
835,48,male,2,own,little,rendah,1,1,0
837,23,female,1,rent,little,rendah,0,2,0
838,63,male,2,own,little,rendah,1,1,0
839,46,male,2,own,little,rendah,1,1,0
840,29,male,2,own,little,tinggi,1,1,0
841,28,male,1,own,little,rendah,1,1,0
842,23,female,2,own,little,rendah,0,1,0
843,50,male,2,own,little,rendah,1,1,0
844,47,male,2,own,little,tinggi,1,1,0
847,28,male,2,own,little,rendah,1,1,0
848,59,male,2,own,little,rendah,1,1,0
849,57,male,1,own,little,rendah,1,1,0
850,33,male,2,rent,little,rendah,1,2,0
852,35,male,2,free,little,rendah,1,0,0
853,32,male,1,free,little,rendah,1,0,0
854,45,male,2,own,little,tinggi,1,1,0
855,33,male,2,own,moderate,rendah,1,1,1
857,28,male,2,free,little,tinggi,1,0,0
858,29,female,2,own,little,tinggi,0,1,0
859,26,male,2,rent,moderate,tinggi,1,2,1
860,27,male,2,own,rich,tinggi,1,1,3
861,28,male,2,own,little,rendah,1,1,0
862,35,female,2,own,little,rendah,0,1,0
863,32,male,1,own,rich,tinggi,1,1,3
864,25,male,1,rent,little,rendah,1,2,0
865,20,female,2,rent,quite rich,rendah,0,2,2
866,27,female,2,own,little,rendah,0,1,0
867,42,male,2,own,little,tinggi,1,1,0
869,24,female,2,rent,little,rendah,0,2,0
870,40,female,2,own,quite rich,tinggi,0,1,2
871,46,male,2,own,little,rendah,1,1,0
872,26,male,2,own,moderate,rendah,1,1,1
874,29,male,1,own,little,tinggi,1,1,0
875,40,female,2,own,rich,rendah,0,1,3
876,36,male,3,free,little,rendah,1,0,0
877,28,male,2,own,little,tinggi,1,1,0
878,27,male,3,free,little,rendah,1,0,0
880,38,male,3,own,little,tinggi,1,1,0
883,65,female,0,own,little,rendah,0,1,0
884,43,male,2,own,little,tinggi,1,1,0
885,53,female,2,own,little,rendah,0,1,0
887,23,male,2,own,little,tinggi,1,1,0
888,34,male,3,own,little,tinggi,1,1,0
890,43,male,3,own,little,rendah,1,1,0
891,46,male,2,own,little,rendah,1,1,0
892,38,male,1,own,little,rendah,1,1,0
893,34,male,2,own,little,tinggi,1,1,0
896,28,female,3,rent,little,rendah,0,2,0
897,35,female,2,own,rich,rendah,0,1,3
899,42,male,2,own,little,tinggi,1,1,0
900,43,male,2,rent,little,rendah,1,2,0
904,36,male,3,own,little,rendah,1,1,0
905,20,male,3,rent,little,rendah,1,2,0
908,46,female,1,own,little,tinggi,0,1,0
910,34,female,2,own,little,tinggi,0,1,0
911,25,female,1,own,little,tinggi,0,1,0
913,28,male,2,own,rich,rendah,1,1,3
914,31,male,2,rent,little,tinggi,1,2,0
915,32,female,3,own,little,tinggi,0,1,0
916,32,male,2,own,moderate,rendah,1,1,1
917,68,male,3,own,little,tinggi,1,1,0
918,33,male,2,own,moderate,rendah,1,1,1
919,39,male,3,rent,little,tinggi,1,2,0
920,28,female,2,own,little,rendah,0,1,0
921,37,male,3,own,quite rich,tinggi,1,1,2
922,22,female,2,rent,little,rendah,0,2,0
923,30,male,2,rent,little,rendah,1,2,0
924,55,male,2,own,little,tinggi,1,1,0
925,46,male,2,own,little,rendah,1,1,0
926,21,female,2,rent,little,rendah,0,2,0
927,39,male,2,free,little,tinggi,1,0,0
929,43,male,1,own,little,rendah,1,1,0
930,24,male,1,own,little,rendah,1,1,0
931,22,female,2,own,little,rendah,0,1,0
932,30,male,2,own,little,rendah,1,1,0
933,42,male,2,own,quite rich,rendah,1,1,2
934,23,female,2,own,little,rendah,0,1,0
935,30,male,3,own,moderate,rendah,1,1,1
936,28,female,1,own,little,rendah,0,1,0
937,30,male,3,rent,little,rendah,1,2,0
938,42,male,2,free,little,tinggi,1,0,0
941,31,male,1,own,little,rendah,1,1,0
943,42,male,1,own,little,rendah,1,1,0
944,46,female,2,rent,little,rendah,0,2,0
945,30,female,2,own,quite rich,tinggi,0,1,2
946,30,male,2,free,quite rich,tinggi,1,0,2
948,43,male,1,own,little,rendah,1,1,0
949,31,male,2,own,moderate,tinggi,1,1,1
950,40,male,0,own,little,tinggi,1,1,0
951,24,male,2,own,little,rendah,1,1,0
952,28,female,2,rent,quite rich,tinggi,0,2,2
953,26,female,3,own,little,tinggi,0,1,0
954,29,female,2,own,little,rendah,0,1,0
955,57,female,3,rent,rich,rendah,0,2,3
957,37,male,1,own,little,rendah,1,1,0
958,45,male,1,own,little,tinggi,1,1,0
959,30,male,2,free,moderate,rendah,1,0,1
960,30,male,2,rent,little,rendah,1,2,0
961,47,male,2,own,little,rendah,1,1,0
963,35,male,2,own,quite rich,rendah,1,1,2
964,22,male,1,own,little,rendah,1,1,0
966,23,male,1,own,quite rich,rendah,1,1,2
967,54,female,3,rent,little,tinggi,0,2,0
969,40,male,1,own,little,tinggi,1,1,0
970,22,male,2,own,moderate,rendah,1,1,1
971,43,male,1,own,little,tinggi,1,1,0
972,29,female,0,rent,little,rendah,0,2,0
973,36,male,2,rent,little,tinggi,1,2,0
974,33,female,2,own,little,rendah,0,1,0
975,57,female,1,own,quite rich,rendah,0,1,2
976,64,female,2,own,little,rendah,0,1,0
978,47,male,1,own,little,rendah,1,1,0
979,25,male,2,rent,moderate,rendah,1,2,1
980,49,male,2,own,little,tinggi,1,1,0
981,33,male,3,rent,little,tinggi,1,2,0
982,28,female,3,own,moderate,rendah,0,1,1
983,26,male,2,own,little,tinggi,1,1,0
984,30,male,1,own,little,rendah,1,1,0
985,25,female,2,rent,little,rendah,0,2,0
986,33,male,2,own,little,tinggi,1,1,0
987,64,female,2,own,moderate,rendah,0,1,1
988,29,male,3,free,little,tinggi,1,0,0
989,48,male,1,own,little,rendah,1,1,0
991,34,male,1,own,moderate,rendah,1,1,1
993,30,male,3,own,little,tinggi,1,1,0
995,31,female,1,own,little,rendah,0,1,0
996,40,male,3,own,little,tinggi,1,1,0
997,38,male,2,own,little,rendah,1,1,0
998,23,male,2,free,little,rendah,1,0,0
999,27,male,2,own,moderate,tinggi,1,1,1
